epa_id	cas	name_en	name_cn	formula	category	subcategory	role	product_logic	notes
# ──────────────────────────────────────────────────────────────────────────────────────────────────
# EPA Priority Pollutants — 现行清单 (40 CFR Part 423, Appendix A) — 126 条
# 来源: U.S. EPA. Code of Federal Regulations Title 40, Part 423, Appendix A.
#        https://www.ecfr.gov/current/title-40/chapter-I/subchapter-N/part-423
# 注:
#   • 官方编号 001-129 含 3 个空位 (017, 049, 050), 故 126 条
#   • 历史 "129 priority pollutants" 中 CFC-11 / CFC-12 / bis(chloromethyl)ether 已从清单删除
#   • epa_id 即官方编号 (3 位补零)
#   • role          ∈ {donor, acceptor_metal, non_redox, excluded}
#   • product_logic ∈ {full_mineralization, partial_dechlorination, redox_only, cn_oxidation, excluded}
#   • 修正 EPA 文件自身错字:
#       #045 官方标 "Methyl chloride (dichloromethane)" — methyl chloride 实为 CH3Cl
#       #075 官方标 "benzo(b)fluoranthene" — 与 #074 撞名, 应为 benzo(k)fluoranthene
# ──────────────────────────────────────────────────────────────────────────────────────────────────
001	83-32-9	Acenaphthene	苊	C12H10	Base-Neutral	PAH	donor	full_mineralization	PAH (3-ring)
002	107-02-8	Acrolein	丙烯醛	C3H4O	Volatile	Aldehyde	donor	full_mineralization	α,β-不饱和醛
003	107-13-1	Acrylonitrile	丙烯腈	C3H3N	Volatile	Nitrile	donor	full_mineralization	N→NH4+
004	71-43-2	Benzene	苯	C6H6	Volatile	BTEX	donor	full_mineralization	BTEX 代表
005	92-87-5	Benzidine	联苯胺	C12H12N2	Base-Neutral	Amine	donor	full_mineralization	N→NH4+; 强致癌
006	56-23-5	Carbon tetrachloride	四氯化碳	CCl4	Volatile	Halomethane	excluded	reductive_only	C 已在 +IV 最高氧化态; 仅能通过还原性脱氯降解, 不在氧化半反应框架内
007	108-90-7	Chlorobenzene	氯苯	C6H5Cl	Volatile	Chlorobenzene	donor	full_mineralization
008	120-82-1	1,2,4-Trichlorobenzene	1,2,4-三氯苯	C6H3Cl3	Base-Neutral	Chlorobenzene	donor	partial_dechlorination	TCB
009	118-74-1	Hexachlorobenzene	六氯苯	C6Cl6	Base-Neutral	Chlorobenzene	donor	partial_dechlorination	HCB; POP
010	107-06-2	1,2-Dichloroethane	1,2-二氯乙烷	C2H4Cl2	Volatile	Haloalkane	donor	full_mineralization
011	71-55-6	1,1,1-Trichloroethane	1,1,1-三氯乙烷	C2H3Cl3	Volatile	Haloalkane	donor	partial_dechlorination	TCA
012	67-72-1	Hexachloroethane	六氯乙烷	C2Cl6	Base-Neutral	Haloalkane	donor	partial_dechlorination	HCE
013	75-34-3	1,1-Dichloroethane	1,1-二氯乙烷	C2H4Cl2	Volatile	Haloalkane	donor	full_mineralization
014	79-00-5	1,1,2-Trichloroethane	1,1,2-三氯乙烷	C2H3Cl3	Volatile	Haloalkane	donor	partial_dechlorination
015	79-34-5	1,1,2,2-Tetrachloroethane	1,1,2,2-四氯乙烷	C2H2Cl4	Volatile	Haloalkane	donor	partial_dechlorination
016	75-00-3	Chloroethane	氯乙烷	C2H5Cl	Volatile	Haloalkane	donor	full_mineralization
018	111-44-4	Bis(2-chloroethyl) ether	双(2-氯乙基)醚	C4H8Cl2O	Base-Neutral	Ether	donor	full_mineralization
019	110-75-8	2-Chloroethyl vinyl ether	2-氯乙基乙烯基醚	C4H7ClO	Volatile	Ether	donor	full_mineralization
020	91-58-7	2-Chloronaphthalene	2-氯萘	C10H7Cl	Base-Neutral	Chloro-PAH	donor	full_mineralization
021	88-06-2	2,4,6-Trichlorophenol	2,4,6-三氯苯酚	C6H3Cl3O	Acid-Extractable	Chlorophenol	donor	partial_dechlorination
